step,amount,old_balance,new_balance,merchant_old_balance,merchant_new_balance,is_fraud,is_flagged_fraud,customer_txn_count,customer_avg_amount,customer_std_amount,merchant_avg_amount,merchant_risk_tier,new_device,new_location,location_mismatch,new_merchant,txns_prev_1h,velocity_anomaly,customer_txn_count_prior,time_of_day_anomaly,txns_prev_24h,customer_avg_amount_prior,customer_std_amount_prior,amount_z_score,hour,day_of_week
126,938288.58,938288.58,0.0,0.0,938288.58,1,0,1,938288.58,0.0,370848.81956521736,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,5
126,5245375.3,5245375.3,0.0,0.0,5245375.3,1,0,1,5245375.3,0.0,558202.3639130435,3,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,6,5
126,5245375.3,5245375.3,0.0,0.0,0.0,1,0,1,5245375.3,0.0,708714.0122222222,3,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,6,5
126,938288.58,938288.58,0.0,0.0,0.0,1,0,1,938288.58,0.0,382429.03,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,5
126,1244037.74,1244037.74,0.0,0.0,0.0,1,0,1,1244037.74,0.0,385061.9130769231,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,5
126,1244037.74,1244037.74,0.0,0.0,1244037.74,1,0,1,1244037.74,0.0,468479.472173913,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,5
127,6339.42,6339.42,0.0,0.0,0.0,1,0,1,6339.42,0.0,140509.633,3,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,7,5
127,701707.89,701707.89,0.0,0.0,0.0,1,0,1,701707.89,0.0,256016.03,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7,5
127,829012.31,829012.31,0.0,0.0,829012.31,1,0,1,829012.31,0.0,862298.1476923077,3,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,7,5
127,1848199.45,1848199.45,0.0,1668360.97,3516560.42,1,0,1,1848199.45,0.0,256879.61857142855,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7,5
